iter	Passed	Remaining
0	556	555533
1	1300	649097
2	2093	695815
3	2813	700476
4	3587	713814
5	4422	732716
6	5107	724465
7	5756	713855
8	6476	713187
9	7197	712520
10	7878	708322
11	8560	704817
12	9264	703413
13	9962	701679
14	10671	700782
15	11385	700184
16	12134	701672
17	12859	701555
18	13558	700044
19	14321	701733
20	14950	696995
21	15596	693313
22	16139	685595
23	16663	677651
24	17212	671272
25	17904	670746
26	18550	668507
27	19109	663389
28	19571	655309
29	20157	651763
30	20723	647776
31	21286	643905
32	21775	638084
33	22312	633939
34	22880	630837
35	23576	631313
36	24155	628682
37	24807	628022
38	25487	628038
39	26181	628353
40	26737	625404
